year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,302877000803,White Sulphur Springs HS,Montana,White Sulphur Spgs K-12,59645,"Rural, remote",High,Regular school,Not applicable,60,,,,,,,,,2,12,7,0,0,0,Missing/not reported,0,0,0,17,-2,12,-1,-1,1242125,18,100,80,90,0,0,0,0,0,0,0,0,0,0,0,17,7,18,,9,7,9,0,0,1,0,0,2,16
2015,302891101086,Rocky Boy High School,Montana,Rocky Boy H S,59521,"Rural, remote",High,Regular school,Not applicable,132,,,,,,,,,0,44,9,2,0,0,Missing/not reported,0,0,0,381,-2,140,-1,-1,1214133,37,49,40,44,0,0,0,0,0,0,0,0,0,0,0,61,22,,,33,10,35,0,0,0,0,0,0,20
2015,320000100608,Nevada State High School,Nevada,STATE-SPONSORED CHARTER SCHOOLS,89074,"City, large",High,Regular school,Yes,341,18,60,79,69.5,29,80,100,90,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,80000,154,100,95,97,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,371
2015,320000100614,Silver State High School,Nevada,STATE-SPONSORED CHARTER SCHOOLS,89701,"City, small",High,Regular school,Yes,358,103,55,59,57,97,45,49,47,0,6,2,2,0,2,Missing/not reported,2,2,0,22,-2,7,-1,-1,936065,100,49,45,47,0,0,0,0,0,0,0,0,0,0,0,70,4,4,4,31,2,99,0,0,0,0,0,0,75
2015,320000100751,Beacon Academy of Nevada,Nevada,STATE-SPONSORED CHARTER SCHOOLS,89147,"Suburb, large",High,Regular school,Yes,548,114,55,59,57,112,60,64,62,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,657160,242,52,52,52,0,0,0,0,0,0,0,0,0,0,0,87,71,88,4,29,19,70,0,0,0,0,0,0,159
2015,320000100800,Alpine Academy,Nevada,STATE-SPONSORED CHARTER SCHOOLS,89434,"Suburb, large",High,Regular school,Yes,120,40,80,89,84.5,43,70,79,74.5,0,0,10,0,0,0,Missing/not reported,0,0,0,19,-2,0,-1,-1,372079,27,100,80,90,0,0,0,0,0,0,0,0,0,0,0,33,23,8,,31,,39,0,0,0,0,0,0,27
2015,320003000001,Churchill County High School,Nevada,CHURCHILL COUNTY SCHOOL DISTRICT,89406,"Town, remote",High,Regular school,No,1044,278,72,72,72,273,74,74,74,14,34,4,0,0,0,Missing/not reported,0,2,0,133,-2,1,-1,-1,2572201,313,63,63,63,0,0,0,0,0,0,0,0,0,0,0,310,189,105,22,173,75,181,0,0,0,0,0,0,236
2015,320006000007,Basic High School,Nevada,CLARK COUNTY SCHOOL DISTRICT,89015,"City, large",High,Regular school,No,2453,11,0,49,24.5,621,62,62,62,295,242,125,0,23,2,Missing/not reported,2,10,19,1883,-2,391,-1,-1,5176826,531,73,73,73,0,0,0,0,0,0,0,0,0,0,0,793,613,144,40,634,206,685,0,1,0,0,2,0,526
2015,320006000011,Bonanza High School,Nevada,CLARK COUNTY SCHOOL DISTRICT,89146,"City, large",High,Regular school,No,2103,551,75,75,75,470,68,68,68,111,137,54,0,18,9,Missing/not reported,0,12,15,778,-2,231,-1,-1,3919989,494,74,74,74,0,0,0,1,0,0,0,0,0,0,0,677,321,126,27,514,288,583,0,0,0,0,0,0,481
2015,320006000013,Boulder City High School,Nevada,CLARK COUNTY SCHOOL DISTRICT,89005,"Town, fringe",High,Regular school,No,608,16,60,79,69.5,123,75,79,77,14,4,0,0,6,0,Missing/not reported,0,0,6,3,-2,2,-1,-1,1831001,155,89,85,87,0,0,1,1,0,0,0,0,2,0,0,186,137,64,6,143,15,142,0,0,0,0,0,0,173
2015,320006000018,Chaparral High School,Nevada,CLARK COUNTY SCHOOL DISTRICT,89121,"City, midsize",High,Regular school,No,2410,144,30,34,32,638,55,55,55,61,429,434,0,45,8,Missing/not reported,22,24,42,2984,-2,1003,-1,-1,4201987,473,80,80,80,1,0,0,0,0,0,0,0,0,0,2,727,514,131,50,526,102,631,0,4,0,0,4,0,574
2015,320006000030,Ed W Clark High School,Nevada,CLARK COUNTY SCHOOL DISTRICT,89102,"City, large",High,Regular school,No,3138,933,58,58,58,722,56,56,56,227,150,49,0,21,8,Missing/not reported,4,8,19,689,-2,219,-1,-1,7544987,678,81,81,81,1,1,6,2,0,0,0,0,6,2,2,1066,731,329,176,785,389,748,0,0,0,0,0,0,764
2015,320006000032,Eldorado High School,Nevada,CLARK COUNTY SCHOOL DISTRICT,89110,"Suburb, large",High,Regular school,No,1940,486,62,62,62,519,63,63,63,89,119,17,0,66,19,Missing/not reported,2,6,60,457,-2,118,-1,-1,3791583,436,78,78,78,0,2,1,2,0,0,0,0,2,4,0,573,478,73,10,659,216,448,0,0,0,0,0,0,453
