year,leaid,lea_name,state_name,state_leaid,city_location,urban_centric_locale,agency_type,enrollment,english_language_learners,est_population_total,est_population_5_17_poverty,est_population_5_17_poverty_pct,rev_total,rev_fed_total,rev_state_total,rev_local_total,rev_local_prop_tax,exp_total,exp_current_elsec_total,exp_current_instruction_total,exp_current_supp_serve_total,exp_current_pupils,exp_current_instruc_staff,exp_current_general_admin,exp_current_sch_admin,exp_current_operation_plant,exp_current_student_transport,exp_current_bco,exp_current_supp_serv_nonspec,exp_current_other,exp_current_food_serv,exp_current_enterprise,exp_current_other_elsec,exp_nonelsec,exp_nonelsec_community_serv,exp_nonelsec_adult_education,exp_nonelsec_other,exp_textbooks,exp_utilities_energy,exp_tech_supplies_services,exp_tech_equipment,outlay_capital_total,outlay_capital_construction,outlay_capital_land_structures,outlay_capital_instruc_equip,outlay_capital_other_equip,outlay_capital_nonspec_equip,salaries_total,salaries_instruction,benefits_employee_total,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt
2015,3904584,Ashtabula County ESC,Ohio,45849,Ashtabula,"Town, distant",Regional education service agency,0,0,,,,9294000,1243000,622000,7429000,Not applicable,8809000,8626000,3974000,4635000,2393000,470000,732000,299000,236000,0,505000,0,17000,17000,0,0,139000,0,139000,0,12000,26000,135000,21000,37000,0,0,20000,17000,0,5306000,2432000,2183000,,,,
2015,3904585,Buckeye Local,Ohio,45856,Ashtabula,"Town, distant",Regular local school district,1740,3,10994,336,0.182609,19618000,902000,9897000,8819000,6040000,18334000,17264000,10362000,6289000,1161000,363000,471000,950000,1763000,967000,614000,0,613000,613000,0,0,7000,1000,6000,0,110000,321000,584000,0,623000,228000,0,213000,162000,20000,9738000,6769000,4014000,165,89,85,87
2015,3904586,Grand Valley Local,Ohio,45864,Orwell,"Rural, distant",Regular local school district,1196,Missing/not reported,9260,389,0.19959,13784000,1021000,7132000,5631000,4373000,12964000,11982000,6585000,4898000,530000,99000,740000,741000,1358000,1001000,429000,0,499000,499000,0,0,0,0,0,0,66000,393000,119000,1000,375000,91000,0,84000,193000,7000,6519000,4414000,3063000,93,94,90,92
2015,3904587,Jefferson Area Local,Ohio,45872,Jefferson,"Rural, fringe",Regular local school district,1682,7,11264,365,0.189709,19761000,825000,8576000,10360000,6575000,17088000,14335000,8255000,5508000,622000,427000,238000,879000,1583000,1120000,639000,0,572000,572000,0,0,59000,59000,0,0,79000,393000,449000,0,1214000,670000,0,110000,434000,0,7643000,5222000,3340000,133,94,90,92
2015,3904588,Pymatuning Valley Local,Ohio,45880,Andover,"Rural, distant",Regular local school district,1234,4,8992,557,0.33922,15949000,1047000,8989000,5913000,4544000,13639000,12599000,7379000,4680000,620000,22000,308000,860000,1198000,999000,673000,0,540000,540000,0,0,26000,26000,0,0,39000,318000,128000,25000,507000,15000,0,84000,408000,0,6421000,4353000,3192000,98,94,90,92
2015,3904590,Alexander Local,Ohio,45906,Albany,"Rural, distant",Regular local school district,1533,3,10628,351,0.204426,18218000,1464000,10130000,6624000,4836000,18536000,16438000,9281000,6491000,1333000,359000,495000,848000,1395000,1285000,776000,0,666000,664000,0,2000,2000,2000,0,0,5000,298000,297000,0,1108000,713000,0,135000,260000,0,9578000,6135000,3834000,114,100,95,97
2015,3904591,Federal Hocking Local,Ohio,45914,Stewart,"Rural, distant",Regular local school district,987,Missing/not reported,8230,274,0.21524,15294000,1678000,8908000,4708000,3412000,13466000,11607000,6927000,4151000,439000,135000,229000,532000,1127000,1160000,529000,0,529000,529000,0,0,11000,11000,0,0,118000,233000,327000,60000,1454000,936000,0,273000,243000,2000,6324000,4237000,3002000,70,94,90,92
2015,3904592,Trimble Local,Ohio,45922,Glouster,"Rural, fringe",Regular local school district,841,Missing/not reported,4718,240,0.294479,13041000,1450000,9644000,1947000,992000,10933000,10100000,6207000,3305000,328000,216000,472000,410000,1021000,580000,278000,0,588000,588000,0,0,1000,1000,0,0,0,355000,194000,90000,776000,465000,0,74000,210000,27000,5501000,3766000,2444000,58,100,90,95
2015,3904593,Auglaize County ESC,Ohio,45930,Wapakoneta,"Town, fringe",Regional education service agency,0,0,,,,9062000,1028000,504000,7530000,Not applicable,9626000,9537000,5361000,4176000,1905000,302000,1549000,18000,159000,60000,183000,0,0,0,0,0,0,0,0,0,0,25000,52000,0,87000,0,0,11000,76000,0,6248000,3813000,2342000,,,,
2015,3904594,Minster Local,Ohio,45948,Minster,"Town, distant",Regular local school district,866,3,4226,51,0.057889,12145000,283000,4842000,7020000,4441000,9904000,8598000,5520000,2718000,663000,209000,193000,303000,872000,195000,283000,0,360000,360000,0,0,8000,8000,0,0,29000,317000,247000,0,478000,249000,0,101000,126000,2000,4742000,3584000,1883000,67,100,95,97
