year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,440002400484,Sheila Skip Nowell Leadership,Rhode Island,Sheila Skip Nowell Leadership Academy,2863,"Suburb, large",High,Regular school,Yes,67,19,0,20,10,20,0,20,10,0,4,0,0,0,0,Missing/not reported,0,8,0,13,-2,2,-1,-1,154586,23,20,0,10,0,0,0,0,0,0,0,0,0,0,0,67,6,4,,18,2,21,0,0,0,0,0,0,7
2015,440002500487,Village Green Virtual,Rhode Island,Village Green Virtual,2903,"City, midsize",High,Regular school,Yes,208,76,55,59,57,68,20,24,22,0,7,0,0,0,0,Missing/not reported,0,0,0,25,-2,5,-1,-1,775155,54,89,80,84,0,0,0,0,0,0,0,0,0,0,0,33,88,,,88,,30,0,0,0,0,0,0,0
2015,440002700489,The Hope Academy,Rhode Island,The Hope Academy,2905,"City, midsize",Primary,Regular school,Yes,72,,,,,,,,,0,6,2,0,0,0,Missing/not reported,0,0,0,12,-2,13,-1,-1,174145,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,11,0,0,4,0,0
2015,440002800490,SouthSide Elementary Charter,Rhode Island,SouthSide Charter School,2907,"City, midsize",Primary,Regular school,Yes,48,,,,,,,,,4,0,4,0,0,0,Missing/not reported,0,0,0,4,-2,4,-1,-1,115224,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,6,0,0,4,0,0
2015,440002900494,RISE Prep Mayoral Academy,Rhode Island,RISE Prep Mayoral Academy,2895,"Suburb, large",Primary,Regular school,Yes,48,,,,,,,,,2,2,0,0,0,0,Missing/not reported,0,0,0,1,-2,1,-1,-1,194662,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
2015,440003000001,Barrington High School,Rhode Island,Barrington,2806,"Suburb, large",High,Regular school,No,1028,553,76,76,76,397,54,54,54,12,18,6,0,0,0,Missing/not reported,0,0,0,72,-2,26,-1,-1,6460728,207,97,97,97,1,1,0,1,0,0,2,2,0,2,2,335,367,,129,282,203,274,0,0,0,0,0,0,357
2015,440003000002,Barrington Middle School,Rhode Island,Barrington,2806,"Suburb, large",Middle,Regular school,No,841,814,82,82,82,813,70,70,70,6,4,0,0,0,0,Missing/not reported,0,0,0,10,-2,4,-1,-1,4495451,,,,,1,0,0,1,0,0,0,2,0,0,2,,,,,,,,0,0,0,0,0,0,0
2015,440003000003,Hampden Meadows School,Rhode Island,Barrington,2806,"Suburb, large",Middle,Regular school,No,525,505,69,69,69,507,67,67,67,4,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,2591383,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,2,0,0
2015,440003000004,Nayatt School,Rhode Island,Barrington,2806,"Suburb, large",Primary,Regular school,No,345,91,70,74,72,92,85,89,87,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,1768262,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,0,2,0,0
2015,440003000005,Sowams Elementary School,Rhode Island,Barrington,2806,"Suburb, large",Primary,Regular school,No,246,68,50,54,52,68,70,74,72,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,1481509,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
