year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,362304003231,STISSING MOUNTAIN HIGH SCHOOL,New York,PINE PLAINS CENTRAL SCHOOL DISTRICT,12567,"Rural, distant",High,Regular school,No,319,69,90,94,92,71,90,94,92,32,16,2,0,0,0,Missing/not reported,0,0,0,34,-2,17,-1,-1,2722203,59,89,80,84,0,1,0,0,0,0,2,0,0,2,0,97,38,4,7,41,9,64,0,0,0,0,0,0,66
2015,362307003232,PINE VALLEY CENTRAL JUNIOR-SENIOR HIGH SCHOOL,New York,PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON),14138,"Rural, distant",High,Regular school,No,274,114,60,64,62,107,55,59,57,13,2,0,0,0,0,Missing/not reported,0,0,0,5,-2,1,-1,-1,1199305,44,89,80,84,2,0,0,0,0,0,0,5,0,0,2,54,24,44,,22,6,28,0,0,0,0,0,0,36
2015,362316003241,PITTSFORD-MENDON HIGH SCHOOL,New York,PITTSFORD CENTRAL SCHOOL DISTRICT,14534,"Suburb, large",High,Regular school,No,998,250,99,100,99.5,249,99,100,99.5,15,13,4,0,2,0,Missing/not reported,0,0,2,45,-2,10,-1,-1,5529939,250,98,98,98,1,1,2,0,2,4,2,2,4,2,2,338,302,234,109,221,119,224,0,0,0,0,0,0,245
2015,362316003242,PITTSFORD SUTHERLAND HIGH SCHOOL,New York,PITTSFORD CENTRAL SCHOOL DISTRICT,14534,"Suburb, large",High,Regular school,No,934,238,99,100,99.5,239,99,100,99.5,10,21,6,0,0,0,Missing/not reported,0,0,0,52,-2,23,-1,-1,5726103,248,98,98,98,3,4,0,0,1,0,0,4,0,6,6,310,271,221,86,205,134,196,0,0,0,0,0,0,232
2015,362319003248,PLAINEDGE SENIOR HIGH SCHOOL,New York,PLAINEDGE UNION FREE SCHOOL DISTRICT,11758,"Suburb, large",High,Regular school,No,1013,261,99,100,99.5,262,99,100,99.5,17,9,2,0,0,0,Missing/not reported,0,0,0,20,-2,10,-1,-1,9292074,271,98,98,98,0,0,4,0,0,5,0,0,5,0,0,236,221,137,123,194,111,213,0,1,0,0,2,0,233
2015,362322003256,PLAINVIEW-OLD BETHPAGE/JFK HIGH SCHOOL,New York,PLAINVIEW-OLD BETHPAGE CENTRAL SCHOOL DISTRICT,11803,"Suburb, large",High,Regular school,No,1534,383,98,98,98,386,99,100,99.5,6,8,4,0,0,0,Missing/not reported,2,4,0,57,-2,12,-1,-1,12257660,371,98,98,98,0,0,0,0,1,0,0,0,0,0,0,464,395,386,165,351,230,396,0,0,0,0,0,0,367
2015,362328003263,PLATTSBURGH SENIOR HIGH SCHOOL,New York,PLATTSBURGH CITY SCHOOL DISTRICT,12901,"Town, distant",High,Regular school,No,567,115,95,100,97.5,118,90,94,92,26,46,13,0,0,0,Missing/not reported,0,0,0,76,-2,46,-1,-1,3981299,132,84,80,82,0,0,0,0,0,0,0,0,0,0,0,163,83,76,27,195,56,103,0,0,0,0,0,0,112
2015,362331003265,PLEASANTVILLE HIGH SCHOOL,New York,PLEASANTVILLE UNION FREE SCHOOL DISTRICT,10570,"Suburb, large",High,Regular school,No,600,137,95,100,97.5,137,95,100,97.5,13,10,2,0,0,0,Missing/not reported,0,0,0,22,-2,6,-1,-1,4096364,144,100,95,97,1,1,0,0,0,0,2,2,0,2,2,169,167,167,37,145,104,125,0,18,0,0,2,0,157
2015,362343003272,PORT BYRON SENIOR HIGH SCHOOL,New York,PORT BYRON CENTRAL SCHOOL DISTRICT,13140,"Rural, fringe",High,Regular school,No,476,143,55,59,57,145,70,74,72,46,29,16,0,2,0,Missing/not reported,2,0,2,140,-2,74,-1,-1,2260218,75,84,80,82,0,0,0,0,0,0,0,0,0,0,0,125,67,73,13,46,67,87,0,0,0,0,0,0,69
2015,362346003278,PORT CHESTER SENIOR HIGH SCHOOL,New York,PORT CHESTER-RYE UNION FREE SCHOOL DISTRICT,10573,"Suburb, large",High,Regular school,No,1348,295,96,96,96,301,97,97,97,0,73,15,0,0,0,Missing/not reported,0,0,0,308,-2,95,-1,-1,Not applicable,315,83,83,83,0,1,0,0,0,0,2,0,0,2,0,277,171,130,23,94,70,185,0,0,0,0,0,0,202
