year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,390451902116,Marion L Steele High School,Ohio,Amherst Exempted Village,44001,"Suburb, midsize",High,Regular school,No,1249,333,74,74,74,328,60,60,60,0,26,8,2,0,0,Missing/not reported,0,0,0,151,-2,35,-1,-1,4380045,334,92,92,92,0,0,0,0,0,0,0,0,0,0,0,331,154,,97,249,33,304,0,0,0,0,0,0,173
2015,390452002121,Barnesville High School,Ohio,Barnesville Exempted Village,43713,"Town, distant",High,Regular school,No,324,85,65,69,67,80,20,24,22,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,952050,90,100,95,97,0,0,0,0,0,0,0,0,0,0,0,112,55,67,13,82,25,82,0,0,0,0,0,0,31
2015,390452102125,Bluffton High School,Ohio,Bluffton Exempted Village,45817,"Town, distant",High,Regular school,No,328,83,60,64,62,66,65,69,67,14,8,2,4,0,0,Missing/not reported,0,0,0,25,-2,7,-1,-1,965178,81,100,95,97,0,0,0,0,0,0,0,0,0,0,0,116,64,72,2,74,19,72,0,0,0,0,0,0,122
2015,390452302128,The Bridgeport School District - High School,Ohio,Bridgeport Exempted Village,43912,"Suburb, small",High,Regular school,No,230,61,55,59,57,58,40,49,44.5,0,15,2,0,0,0,Missing/not reported,0,0,0,13,-2,17,-1,-1,759604,68,94,90,92,0,0,0,0,0,0,0,0,0,0,0,87,16,55,7,51,9,59,0,0,0,0,0,0,80
2015,390452402133,Harrison Central Jr./Sr. High School,Ohio,Harrison Hills City,43907,"Town, distant",High,Regular school,No,677,391,43,43,43,376,38,38,38,96,32,9,0,0,0,Missing/not reported,0,0,0,129,-2,46,-1,-1,1692340,140,89,85,87,0,0,0,0,0,0,0,0,0,0,0,113,31,59,,118,15,102,0,0,0,0,0,0,99
2015,390452502145,Caldwell High School,Ohio,Caldwell Exempted Village,43724,"Town, distant",High,Regular school,No,183,56,50,59,54.5,62,30,34,32,4,14,6,0,2,0,Missing/not reported,0,2,0,176,-2,18,-1,-1,715696,55,100,90,95,0,2,0,1,0,0,2,0,0,2,0,56,16,19,7,37,7,48,0,0,0,0,0,0,52
2015,390452602149,Carey High School,Ohio,Carey Exempted Village,43316,"Town, remote",High,Regular school,No,416,198,35,39,37,201,39,39,39,31,8,0,4,0,0,Missing/not reported,0,2,0,56,-2,14,-1,-1,1819385,67,89,85,87,0,2,0,0,0,0,2,0,0,4,0,72,48,50,22,131,36,65,0,0,0,0,0,0,35
2015,390452702154,Carrollton High School,Ohio,Carrollton Exempted Village,44615,"Town, distant",High,Regular school,No,698,193,50,54,52,174,40,44,42,48,43,27,0,0,0,Missing/not reported,0,0,0,345,-2,91,-1,-1,1670538,200,94,90,92,0,0,0,0,0,0,0,0,0,0,0,196,141,199,53,131,45,147,0,0,0,0,0,0,178
2015,390452802159,Chagrin Falls High School,Ohio,Chagrin Falls Exempted Village,44022,"Suburb, large",High,Regular school,No,768,177,80,84,82,122,85,89,87,13,11,0,0,0,0,Missing/not reported,0,0,0,30,-2,7,-1,-1,2873234,169,100,95,97,0,0,0,0,0,0,0,0,0,0,0,215,202,,122,181,121,125,0,0,0,0,0,0,121
2015,390452902163,Chesapeake High School,Ohio,Chesapeake Union Exempted Village,45619,"Suburb, midsize",High,Regular school,No,342,113,60,64,62,102,45,49,47,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,1322662,116,100,95,97,0,0,0,0,0,0,0,0,0,0,0,133,48,75,7,71,16,99,0,0,0,0,0,0,0
2015,390453102171,Coldwater High School,Ohio,Coldwater Exempted Village,45828,"Town, distant",High,Regular school,No,486,114,55,59,57,87,90,94,92,0,9,0,0,0,0,Missing/not reported,0,0,0,16,-2,6,-1,-1,1367807,101,100,95,97,0,0,0,0,0,0,0,0,0,0,0,148,88,142,28,90,54,108,0,0,0,0,0,0,115
2015,390453202175,Columbiana High School,Ohio,Columbiana Exempted Village,44408,"Rural, fringe",High,Regular school,No,315,78,60,64,62,72,40,44,42,17,6,2,0,0,0,Missing/not reported,0,0,0,32,-2,6,-1,-1,982743,78,100,95,97,0,0,0,0,0,0,0,0,0,0,0,108,56,48,10,122,6,73,0,0,0,0,0,0,130
2015,390453302179,Covington High School,Ohio,Covington Exempted Village,45318,"Town, fringe",High,Regular school,No,224,75,55,59,57,73,45,49,47,0,7,2,0,0,0,Missing/not reported,2,2,0,17,-2,8,-1,-1,694291,62,100,95,97,0,0,0,0,0,0,0,0,0,0,0,86,48,,19,52,22,55,0,0,0,0,0,0,71
2015,390453502186,Crooksville High School,Ohio,Crooksville Exempted Village,43731,"Rural, fringe",High,Regular school,No,321,42,11,19,15,77,30,34,32,32,18,2,0,0,0,Missing/not reported,0,0,0,37,-2,19,-1,-1,1270312,92,89,85,87,0,0,0,0,0,0,0,0,0,0,0,102,13,34,4,94,4,82,0,0,0,0,0,0,64
2015,390453702192,Georgetown Jr/Sr High School,Ohio,Georgetown Exempted Village,45121,"Rural, fringe",High,Regular school,No,430,218,56,56,56,220,62,62,62,58,20,8,0,0,0,Missing/not reported,0,0,0,83,-2,36,-1,-1,1638688,79,100,95,97,0,0,0,0,0,0,0,0,0,0,0,162,21,61,9,52,9,60,0,0,0,0,0,0,53
2015,390453802196,Gibsonburg High School,Ohio,Gibsonburg Exempted Village,43431,"Rural, distant",High,Regular school,No,288,69,60,64,62,69,50,54,52,25,14,8,0,2,2,Missing/not reported,0,0,0,44,-2,11,-1,-1,1150000,83,100,95,97,0,0,0,0,0,0,0,0,0,0,0,71,24,18,,63,9,59,0,0,0,0,0,0,92
2015,390453902198,Granville High School,Ohio,Granville Exempted Village,43023,"Suburb, small",High,Regular school,No,837,234,88,88,88,189,85,89,87,22,13,2,0,0,0,Missing/not reported,0,8,0,50,-2,16,-1,-1,3357166,206,97,97,97,1,0,0,1,0,0,0,2,0,0,2,,,,,,,,0,0,0,0,0,0,362
2015,390454002203,McClain High School,Ohio,Greenfield Exempted Village,45123,"Town, remote",High,Regular school,No,547,134,40,44,42,114,35,39,37,129,44,26,0,0,0,Missing/not reported,0,0,0,393,-2,107,-1,-1,2306533,148,79,75,77,0,0,0,0,0,0,0,0,0,0,0,71,74,112,9,118,24,127,0,0,0,0,0,0,70
2015,390454102207,Hicksville High School,Ohio,Hicksville Exempted Village,43526,"Rural, fringe",High,Regular school,No,399,224,54,54,54,226,67,67,67,0,4,0,0,0,0,Missing/not reported,0,0,0,8,-2,2,-1,-1,1516260,56,100,90,95,0,0,0,0,0,0,0,0,0,0,0,63,40,28,10,55,12,71,0,0,0,0,0,0,35
2015,390454202209,Hubbard High School,Ohio,Hubbard Exempted Village,44425,"Suburb, large",High,Regular school,No,609,145,60,64,62,139,55,59,57,57,22,9,2,0,0,Missing/not reported,0,0,0,34,-2,37,-1,-1,2014851,179,100,95,97,0,0,0,0,0,0,0,0,0,0,0,154,135,170,,147,56,151,0,0,0,0,0,0,235
2015,390454302213,Indian Hill High School,Ohio,Indian Hill Exempted Village,45243,"Rural, fringe",High,Regular school,No,651,155,85,89,87,88,70,74,72,24,6,2,4,0,0,Missing/not reported,0,2,0,68,-2,8,-1,-1,4356707,155,100,95,97,0,0,0,0,0,0,0,0,0,0,0,233,224,233,109,206,123,93,0,0,0,0,0,0,254
2015,390454602225,Loudonville High School,Ohio,Loudonville-Perrysville Exempted Village,44842,"Rural, distant",High,Regular school,No,400,110,55,59,57,98,60,64,62,37,4,4,0,0,0,Missing/not reported,0,0,0,48,-2,8,-1,-1,1120939,86,94,90,92,0,0,0,0,0,0,0,0,0,0,0,92,27,,58,63,13,91,0,0,0,0,0,0,89
2015,390454702230,Marysville High School,Ohio,Marysville Exempted Village,43040,"Town, distant",High,Regular school,No,1464,284,57,57,57,276,56,56,56,6,47,26,2,4,0,Missing/not reported,2,16,0,590,-2,135,-1,-1,4026931,418,92,92,92,0,2,0,0,0,0,2,0,0,2,0,482,231,135,262,249,163,291,0,0,0,0,0,0,249
2015,390454802234,Mechanicsburg High School,Ohio,Mechanicsburg Exempted Village,43044,"Rural, distant",High,Regular school,No,262,64,30,34,32,64,55,59,57,0,8,6,0,0,0,Missing/not reported,0,17,0,35,-2,17,-1,-1,845112,65,100,95,97,0,0,0,0,0,0,0,0,0,0,0,67,45,45,16,65,30,70,0,0,0,0,0,0,60
2015,390454902244,Mentor High School,Ohio,Mentor Exempted Village,44060,"Suburb, large",High,Regular school,No,2717,647,68,68,68,594,60,60,60,29,92,51,4,10,6,Missing/not reported,0,4,0,761,-2,245,-1,-1,9286663,667,94,94,94,0,0,0,0,0,0,0,0,0,0,0,760,513,525,100,112,359,639,0,0,0,0,0,0,535
2015,390455002252,Milford Sr High School,Ohio,Milford Exempted Village,45150,"Suburb, large",High,Regular school,No,1940,517,61,61,61,431,46,46,46,19,58,11,0,0,0,Missing/not reported,0,0,0,326,-2,70,-1,-1,5972158,490,96,96,96,0,0,0,0,0,0,0,0,0,0,0,725,294,203,491,73,15,38,0,1,3,0,2,2,677
2015,390455102259,Milton-Union High School,Ohio,Milton-Union Exempted Village,45383,"Rural, fringe",High,Regular school,No,428,112,70,74,72,107,45,49,47,17,12,13,0,0,0,Missing/not reported,0,11,0,235,-2,24,-1,-1,1056830,108,100,95,97,0,0,0,0,0,0,0,0,0,0,0,167,65,60,26,100,43,110,0,0,0,0,0,0,52
2015,390455302266,Mt Gilead High School,Ohio,Mount Gilead Exempted Village,43338,"Town, distant",High,Regular school,No,365,93,50,54,52,85,50,54,52,7,6,0,2,0,0,Missing/not reported,0,0,0,17,-2,4,-1,-1,2400000,80,100,95,97,0,0,0,0,0,0,0,0,0,0,0,144,40,26,7,96,12,84,0,0,0,0,0,0,98
